rho,rho_idx,sampling_mode,nps_intercept,topic_aware,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335,predicted_nps_variance
0.0,0,hard,10.22,False,LRTF,6,None,14,3.638356164383562,1.9044008527816985,0.7794520547945205,0.9770992366412213,7.8095703125,15.8203125,1048,1024,2.805573262463289,0.974869109947644,0.0018514198083541098
0.0,0,hard,10.22,False,LRTF,6,None,13,5.158904109589041,3.448879182022042,0.8191780821917808,0.9896729776247849,7.945217391304348,24.0,1162,1150,3.1302771077808784,0.9888059701492538,0.002006723935443525
0.0,0,hard,10.22,False,LRTF,6,None,5,6.391780821917808,4.0370049518205695,0.8835616438356164,0.9909255898366606,7.894688644688645,20.238095238095237,1102,1092,3.836055057845118,0.9900497512437811,0.0020574244933745933
0.0,0,hard,10.22,False,LRTF,6,None,21,8.58904109589041,6.155872651826429,0.9237442922374428,0.9813664596273292,7.756781193490054,16.90777576853526,1127,1106,4.534130754435028,0.9802631578947368,0.001960047403407576
0.0,0,hard,10.22,False,LRTF,6,None,18,2.5561643835616437,0.8003956670498582,0.789497716894977,0.9939550949913645,7.876629018245004,19.982623805386616,1158,1151,2.2870561877437128,0.993439550140581,0.0017916258136900563
0.0,0,hard,10.22,False,LRTF,6,None,22,3.9534246575342467,1.9938984488042177,0.8388127853881279,0.9946188340807175,7.837691614066727,18.394950405770967,1115,1109,2.9475600797964328,0.9942363112391931,0.0018910671605664449
0.0,0,hard,10.22,False,LRTF,6,None,12,14.057534246575342,10.817485353595217,0.9251141552511416,0.9931682322801024,7.883061049011178,20.464316423043847,1171,1163,6.130861945557215,0.9926739926739927,0.0019574633283644376
0.0,0,hard,10.22,False,LRTF,6,None,11,10.947945205479453,10.301626745809166,0.8899543378995435,0.9865433137089992,7.995737425404944,24.808184143222505,1189,1173,4.722619159128619,0.9858407079646018,0.001753097596869198
0.0,0,hard,10.22,False,LRTF,6,None,1,7.427397260273972,4.6778122086228455,0.8497716894977168,0.9733806566104702,7.958067456700091,24.521422060164088,1127,1097,3.611395248265453,0.9712918660287081,0.001969504651756498
0.0,0,hard,10.22,False,LRTF,6,None,15,8.273972602739725,5.274301461649387,0.8762557077625572,0.9916743755781684,7.9085820895522385,20.708955223880597,1081,1072,4.5500381108745795,0.9910802775024777,0.001996468515493078
0.0,0,hard,10.22,False,LRTF,6,None,25,2.4794520547945207,1.585021746523406,0.7511415525114155,0.9936823104693141,7.8047229791099,17.801998183469575,1108,1101,2.29508141576224,0.9931707317073171,0.0017970678847764488
0.0,0,hard,10.22,False,LRTF,6,None,29,6.484931506849315,7.377023572547495,0.8990867579908675,0.9955277280858676,7.946990116801437,22.102425876010777,1118,1113,3.8739475124533462,0.9951550387596899,0.002000400400313278
0.0,0,hard,10.22,False,LRTF,6,None,16,23.03835616438356,22.01248147112533,0.9484018264840183,0.9861623616236163,7.847521047708138,21.234798877455567,1084,1069,9.751321297211538,0.9849397590361446,0.0019766375078759967
0.0,0,hard,10.22,False,LRTF,6,None,23,35.49589041095891,32.96588484416595,0.9757990867579909,0.9934701492537313,7.88075117370892,19.906103286384973,1072,1065,14.121804135016012,0.9929078014184397,0.0019161270310759102
0.0,0,hard,10.22,False,LRTF,6,None,31,7.597260273972603,8.378642447778088,0.9045662100456622,0.9860335195530726,7.948064211520302,23.701605288007556,1074,1059,4.364049188645354,0.985,0.0018817458476374053
0.0,0,hard,10.22,False,LRTF,6,None,19,47.16986301369863,53.6036918164245,0.9821917808219178,0.9230080572963295,7.8913676042677015,22.114451988360816,1117,1031,12.042729535050418,0.9167473378509197,0.0019483484124707274
0.0,0,hard,10.22,False,LRTF,6,None,20,53.33698630136986,62.71509855105744,0.9872146118721461,0.9561018437225637,8.001836547291093,26.170798898071627,1139,1089,14.698397581341185,0.9524262607040913,0.0020129694061809984
0.0,0,hard,10.22,False,LRTF,6,None,17,38.73424657534247,46.03156763746182,0.9780821917808219,0.9864620938628159,7.817017383348582,16.925892040256173,1108,1093,14.736723734913571,0.9854085603112841,0.002088872672519868
0.0,0,hard,10.22,False,LRTF,6,None,2,66.91232876712328,50.93299610661108,0.9570776255707762,0.8835672997522709,7.880373831775701,21.495327102803735,1211,1070,8.330016026414947,0.8772845953002611,0.0019559341517427836
0.0,0,hard,10.22,False,LRTF,6,None,7,57.87123287671233,46.264755415927276,0.9694063926940639,0.863519313304721,7.8041749502982105,18.588469184890656,1165,1006,9.915147115948182,0.8509840674789129,0.001782205553147504
0.0,0,hard,10.22,False,LRTF,6,None,26,38.04931506849315,41.0859753914877,0.963013698630137,0.913081650570676,7.755769230769231,15.769230769230768,1139,1040,9.268843893591644,0.9078212290502793,0.0018824623629874963
0.0,0,hard,10.22,False,LRTF,6,None,6,41.345205479452055,62.500941200057994,0.9949771689497717,0.9298401420959147,7.973256924546323,25.787965616045845,1126,1047,9.356348884376148,0.9248780487804878,0.0016732365508987128
0.0,0,hard,10.22,False,LRTF,6,None,3,64.76164383561644,70.93941397228375,0.9904109589041096,0.9334548769371012,8.0302734375,27.05078125,1097,1024,15.089951346632425,0.9282907662082515,0.0022251667659545634
0.0,0,hard,10.22,False,LRTF,6,None,27,41.38630136986301,63.080863282623596,0.9712328767123287,0.9403383793410508,7.965909090909091,22.15909090909091,1123,1056,8.227586224515871,0.9366729678638941,0.00193715745698063
0.0,0,hard,10.22,False,LRTF,6,None,36,6.142465753424657,3.9065539997449994,0.863013698630137,0.9753649635036497,7.996258185219832,24.41534144059869,1096,1069,3.615179769037933,0.9734513274336283,0.002010013794926819
0.0,0,hard,10.22,False,LRTF,6,None,32,29.07123287671233,37.5214380549191,0.9689497716894976,0.9631578947368421,7.82695810564663,18.21493624772313,1140,1098,11.184057081277247,0.9609665427509294,0.0018436344120183715
0.0,0,hard,10.22,False,LRTF,6,None,42,0.9616438356164384,0.23244662445158826,0.741552511415525,0.994392523364486,7.892857142857143,20.488721804511272,1070,1064,1.843820854548133,0.9938461538461538,0.0017921209910240965
0.0,0,hard,10.22,False,LRTF,6,None,35,30.197260273972603,47.522120624014256,0.9926940639269407,0.975,7.828470380194518,19.09814323607427,1160,1131,9.933296633588075,0.972998137802607,0.0018223649417495103
0.0,0,hard,10.22,False,LRTF,6,None,43,3.841095890410959,2.4898858335585174,0.8228310502283105,0.9920212765957447,7.970509383378016,23.503127792672036,1128,1119,2.8426126617051923,0.9915094339622641,0.0018039096104540222
0.0,0,hard,10.22,False,LRTF,6,None,45,0.6109589041095891,0.09455729444710809,0.6990867579908676,0.9966130397967824,7.841121495327103,18.776550552251486,1181,1177,1.457513999559159,0.9963768115942029,0.0017279034293820432
0.0,0,hard,10.22,False,LRTF,6,None,33,49.175342465753424,53.70405931331541,0.9707762557077627,0.952020202020202,7.8514588859416445,19.805481874447388,1188,1131,12.711461750124565,0.9489704565801254,0.001745302877351595
0.0,0,hard,10.22,False,LRTF,6,None,28,67.44657534246575,63.663725635522454,0.9821917808219178,0.9136212624584718,7.788181818181818,17.363636363636363,1204,1100,12.020799857923222,0.9075555555555556,0.0019343946404715288
0.0,0,hard,10.22,False,LRTF,6,None,4,90.89041095890411,61.79448301687006,0.9780821917808219,0.8537005163511188,7.70866935483871,15.5241935483871,1162,992,14.226935333747877,0.8418604651162791,0.0017795256275923977
0.0,0,hard,10.22,False,LRTF,6,None,44,5.69041095890411,2.38974819484985,0.8187214611872146,0.9645021645021645,7.973070017953321,23.967684021543985,1155,1114,2.725055434014182,0.9623853211009175,0.0018891922950407044
0.0,0,hard,10.22,False,LRTF,6,None,46,7.323287671232877,4.6472875075619315,0.8931506849315068,0.9929639401934917,7.963684676705049,24.71213463241807,1137,1129,4.062809763979216,0.9924385633270322,0.001939956875801706
0.0,0,hard,10.22,False,LRTF,6,None,9,112.46301369863014,74.93085421120311,0.989041095890411,0.8182616330114135,7.830472103004292,19.849785407725324,1139,932,13.545878034410103,0.809433962264151,0.0019116278835542672
