rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335
0.0,0,hard,10.22,FCFS,6,None,14,1.5972602739726027,0.22188089203638126,0.7461187214611873,0.9973238180196253,7.882826475849732,21.10912343470483,1121,1118,1.9806261155810536,0.9970986460348162
0.0,0,hard,10.22,FCFS,6,None,5,7.293150684931507,1.174393890852667,0.9095890410958904,0.9716563330380869,7.854147675478578,18.6873290793072,1129,1097,4.090212931459149,0.9696106362773029
0.0,0,hard,10.22,FCFS,6,None,4,7.4520547945205475,1.199686038014297,0.9004566210045661,0.988256549232159,7.83363802559415,18.46435100548446,1107,1094,4.259174260553395,0.98747591522158
0.0,0,hard,10.22,FCFS,6,None,13,10.73972602739726,1.6329978770294384,0.910958904109589,0.9863247863247864,7.817157712305026,18.110918544194103,1170,1154,5.060488652281073,0.9855334538878843
0.0,0,hard,10.22,FCFS,6,None,9,25.10958904109589,3.9632684975263257,0.9470319634703195,0.9550763701707098,7.847601128880527,18.438381937911576,1113,1063,10.211750577940881,0.9513618677042801
0.0,0,hard,10.22,FCFS,6,None,20,2.2465753424657535,0.3141778871806035,0.810958904109589,0.9891485809682805,7.908860759493671,23.037974683544306,1198,1185,2.1405974123243348,0.9880624426078971
0.0,0,hard,10.22,FCFS,6,None,17,4.090410958904109,0.5972887712687758,0.8497716894977168,0.9949452401010952,7.950889077053344,22.777307366638443,1187,1181,2.8254472946765588,0.9945553539019963
0.0,0,hard,10.22,FCFS,6,None,24,7.1287671232876715,1.2691399645775459,0.8885844748858447,0.987535953978907,7.80873786407767,18.349514563106794,1043,1030,4.387228962918612,0.986639260020555
0.0,0,hard,10.22,FCFS,6,None,6,5.808219178082192,0.8691965102572252,0.8968036529680367,0.9825291181364393,7.912785774767147,22.18458933107536,1202,1181,3.373705269584618,0.9814323607427056
0.0,0,hard,10.22,FCFS,6,None,21,9.712328767123287,1.4376144089398597,0.8767123287671232,0.9730902777777778,7.911685994647636,19.89295272078502,1152,1121,4.720728109015339,0.9707271010387157
0.0,0,hard,10.22,FCFS,6,None,26,2.7315068493150685,0.3687831380932946,0.7648401826484017,0.9911347517730497,7.915026833631485,20.483005366726292,1128,1118,2.357130274803554,0.9905660377358491
0.0,0,hard,10.22,FCFS,6,None,3,15.186301369863013,2.1551314905560397,0.8899543378995435,0.9920564872021183,7.838967971530249,18.23843416370107,1133,1124,6.657252918501726,0.9914691943127962
0.0,0,hard,10.22,FCFS,6,None,25,13.558904109589042,2.112521875100353,0.9337899543378997,0.9870578084555651,7.853146853146853,20.192307692307693,1159,1144,6.055688118443925,0.9858889934148636
