rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,target_f,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,percent_detractors,percent_passives,percent_promoters,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335,top_class_size,bulk_class_size
0.0,0,hard,10.22,NPS_BINNED,6,None,8,0.0,2.2575342465753425,1.28448586773203,0.8127853881278537,0.9915651358950328,7.84593572778828,20.03780718336484,0.2835538752362949,0.23251417769376181,0.4839319470699433,1067,1058,2.4111485316976773,0.9909547738693467,0,119
0.0,0,hard,10.22,NPS_BINNED,6,None,5,0.0,3.26027397260274,1.1915650263079884,0.795433789954338,0.9692307692307692,7.8468720821661995,20.541549953314657,0.2801120448179272,0.23436041083099907,0.48552754435107376,1105,1071,2.3289194726815285,0.9673390970220941,0,123
0.0,0,hard,10.22,NPS_BINNED,6,None,6,0.0,2.3232876712328765,0.9232932283874683,0.7493150684931507,0.9926470588235294,7.840740740740741,19.53703703703704,0.2722222222222222,0.2601851851851852,0.4675925925925926,1088,1080,2.2820894048520186,0.9920477137176938,0,121
0.0,0,hard,10.22,NPS_BINNED,6,None,4,0.0,6.117808219178082,4.270971673786847,0.830593607305936,0.989778534923339,7.944922547332186,23.838209982788293,0.25817555938037867,0.2452667814113597,0.4965576592082616,1174,1162,3.4084105206074913,0.989100817438692,0,131
0.0,0,hard,10.22,NPS_BINNED,6,None,2,0.0,7.578082191780822,5.228029190057936,0.8684931506849315,0.9889267461669506,7.871662360034453,20.585701981050814,0.2695951765719208,0.2549526270456503,0.4754521963824289,1174,1161,3.976645662359598,0.9883408071748879,0,131
0.0,0,hard,10.22,NPS_BINNED,6,None,11,0.0,10.608219178082193,7.270076345501842,0.9465753424657535,0.9648814749780509,7.856232939035487,19.38125568698817,0.28389444949954507,0.2383985441310282,0.47770700636942676,1139,1099,4.905841825467326,0.9619771863117871,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,1,0.0,5.438356164383562,3.3708983765584377,0.8543378995433791,0.9763779527559056,7.866487455197133,19.802867383512545,0.26881720430107525,0.26433691756272404,0.4668458781362007,1143,1116,3.0848020973381978,0.9751152073732718,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,3,0.0,2.5095890410958903,1.014577458939097,0.7657534246575343,0.9930555555555556,7.9877622377622375,24.65034965034965,0.2465034965034965,0.26048951048951047,0.493006993006993,1152,1144,2.261622250089818,0.9925925925925926,0,128
0.0,0,hard,10.22,NPS_BINNED,6,None,15,0.0,7.986301369863014,5.534849281591949,0.9132420091324202,0.9851268591426072,7.897868561278863,21.936056838365896,0.2753108348134991,0.23001776198934282,0.4946714031971581,1143,1126,4.2568642704873385,0.9839319470699432,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,23,0.0,4.235616438356164,2.662567525735587,0.8634703196347032,0.9892569382273948,7.942081447963801,22.352941176470587,0.2669683257918552,0.2425339366515837,0.49049773755656106,1117,1105,3.060178282839964,0.9886148007590133,0,125
0.0,0,hard,10.22,NPS_BINNED,6,None,16,0.0,7.556164383561644,4.705942371582119,0.8114155251141552,0.9982532751091703,8.010498687664041,25.98425196850394,0.25021872265966755,0.23972003499562555,0.510061242344707,1145,1143,3.9348749204887303,0.998093422306959,0,128
0.0,0,hard,10.22,NPS_BINNED,6,None,19,0.0,21.12054794520548,18.185280082619165,0.9753424657534246,0.9595070422535211,7.8577981651376145,18.80733944954129,0.2798165137614679,0.25229357798165136,0.46788990825688076,1136,1090,8.280578898951706,0.9558117195004803,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,22,0.0,21.63013698630137,14.128638723373944,0.9214611872146118,0.9406028368794326,7.7945334590009425,18.09613572101791,0.2884071630537229,0.24222431668237512,0.46936852026390197,1128,1061,7.2532947813272965,0.9363117870722434,0,126
0.0,0,hard,10.22,NPS_BINNED,6,None,17,0.0,23.435616438356163,25.459817809061256,0.9767123287671233,0.9533678756476683,7.826086956521739,17.93478260869565,0.2916666666666667,0.23731884057971014,0.47101449275362317,1158,1104,8.628761231722772,0.9497206703910615,0,129
0.0,0,hard,10.22,NPS_BINNED,6,None,28,0.0,2.627397260273973,0.7821497956132853,0.839269406392694,0.99096657633243,7.8605287146763905,20.60164083865087,0.27985414767547856,0.23427529626253418,0.48587055606198726,1107,1097,2.5178777829836885,0.9902723735408561,0,123
0.0,0,hard,10.22,NPS_BINNED,6,None,12,0.0,20.854794520547944,23.56440258295827,0.9602739726027397,0.981651376146789,7.864910790144435,22.42990654205607,0.28462192013593884,0.2064570943075616,0.5089209855564996,1199,1177,7.896359909814438,0.9803043867502238,0,134
0.0,0,hard,10.22,NPS_BINNED,6,None,34,0.0,1.1397260273972603,0.3440007053767481,0.7164383561643836,0.9923011120615911,7.964655172413793,23.793103448275865,0.27241379310344827,0.21724137931034482,0.5103448275862069,1169,1160,1.7102097189265497,0.9917431192660551,0,130
0.0,0,hard,10.22,NPS_BINNED,6,None,13,0.0,24.44109589041096,22.730015118644577,0.9465753424657535,0.984182776801406,7.866071428571429,20.71428571428571,0.28035714285714286,0.23214285714285715,0.4875,1138,1120,9.699091416518945,0.9829059829059829,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,27,0.0,17.065753424657533,19.09152469920645,0.941552511415525,0.9874686716791979,7.868020304568528,19.88155668358714,0.272419627749577,0.2563451776649746,0.4712351945854484,1197,1182,6.823348685024253,0.9867021276595744,0,133
0.0,0,hard,10.22,NPS_BINNED,6,None,32,0.0,11.536986301369863,6.02461668445722,0.8698630136986302,0.9767040552200172,7.9037102473498235,20.67137809187279,0.2756183745583039,0.2420494699646643,0.4823321554770318,1159,1132,5.019208452446602,0.9751838235294118,0,129
0.0,0,hard,10.22,NPS_BINNED,6,None,20,0.0,37.635616438356166,54.63145977382039,0.9904109589041096,0.9415992812219227,7.888358778625954,21.183206106870227,0.2738549618320611,0.24045801526717558,0.4856870229007634,1113,1048,10.287745089326284,0.9372586872586872,0,124
0.0,0,hard,10.22,NPS_BINNED,6,None,25,0.0,30.8,44.105313101977174,0.9844748858447488,0.9605866177818515,7.86736641221374,21.087786259541986,0.28435114503816794,0.22041984732824427,0.4952290076335878,1091,1048,10.741566892141561,0.9572564612326043,0,122
0.0,0,hard,10.22,NPS_BINNED,6,None,14,0.0,42.21369863013699,51.35164350466839,0.9899543378995435,0.9282341831916903,7.8484231943031535,19.837232960325537,0.2797558494404883,0.24211597151576805,0.47812817904374366,1059,983,13.273410264174146,0.9227600411946447,0,118
0.0,0,hard,10.22,NPS_BINNED,6,None,7,0.0,56.4027397260274,49.057683837553896,0.9575342465753425,0.8969335604770017,7.806267806267806,18.803418803418804,0.288698955365622,0.2345679012345679,0.47673314339981004,1174,1053,10.85944171048639,0.8901996370235935,0,131
0.0,0,hard,10.22,NPS_BINNED,6,None,35,0.0,25.695890410958903,26.07742593810216,0.9767123287671233,0.9565217391304348,7.746363636363636,15.636363636363637,0.29545454545454547,0.25272727272727274,0.45181818181818184,1150,1100,9.533601895270397,0.9528746465598492,0,128
0.0,0,hard,10.22,NPS_BINNED,6,None,36,0.0,20.687671232876713,19.50557302157745,0.9634703196347031,0.9738675958188153,7.809481216457961,18.694096601073344,0.2853309481216458,0.24239713774597496,0.47227191413237923,1148,1118,8.041408914768345,0.9720930232558139,0,128
0.0,0,hard,10.22,NPS_BINNED,6,None,42,0.0,8.446575342465753,4.76439846345669,0.9041095890410958,0.9920983318700615,7.846017699115044,18.230088495575224,0.2884955752212389,0.2407079646017699,0.47079646017699117,1139,1130,4.438586614990243,0.9915492957746479,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,18,0.0,58.24109589041096,61.33124608536896,0.9621004566210046,0.9233480176211454,7.82824427480916,19.751908396946565,0.28530534351145037,0.2318702290076336,0.48282442748091603,1135,1048,11.831124995971404,0.917221693625119,0,127
0.0,0,hard,10.22,NPS_BINNED,6,None,41,0.0,15.068493150684931,11.93822801797091,0.934703196347032,0.9630606860158312,7.911415525114156,19.817351598173516,0.27579908675799086,0.2502283105022831,0.473972602739726,1137,1095,6.18628968405972,0.9600760456273765,0,127
