rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,target_f,amplitude,period_days,phase,avg_queue_length,peak_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,organisation_nps_first_half,organisation_nps_second_half,percent_detractors,percent_passives,percent_promoters,total_cases_arrived,total_cases_closed,arrivals_after_burnin,avg_case_resolution_time_days,percent_cases_closed_last_335,top_class_size,bulk_class_size
0.5,2,hard,10.22,SRTF,6,None,2,,0.0,14.0,0.0,5.342465753424658,27,5.287052805286326,0.8607305936073059,0.9888698630136986,7.838961038961039,18.7012987012987,20.210896309314585,22.469635627530366,0.2831168831168831,0.24675324675324675,0.4701298701298701,1168,1155,1076,3.2621677911538938,0.9879182156133829,0,0
0.5,2,hard,10.22,FCFS,6,None,2,,0.0,14.0,0.0,7.413698630136986,34,1.079018107779576,0.8735159817351599,0.990582191780822,7.913569576490925,22.81763180639585,19.507908611599294,27.217741935483875,0.2731201382886776,0.22558340535868626,0.5012964563526361,1168,1157,1076,3.9354309371462044,0.9897769516728625,0,0
0.5,2,hard,10.22,FCFS,6,None,3,,0.0,14.0,0.0,16.134246575342466,61,2.5115772705509896,0.9552511415525115,0.9710391822827938,7.85,20.877192982456144,21.36752136752137,21.35306553911205,0.28157894736842104,0.22807017543859648,0.4903508771929825,1174,1140,1092,6.814143372521127,0.9688644688644689,0,0
0.5,2,hard,10.22,SRTF,6,None,3,,0.0,14.0,0.0,12.95890410958904,43,11.719387524538805,0.9611872146118723,0.965076660988075,7.879964695498676,20.653133274492504,21.02564102564103,17.38197424892704,0.2824360105913504,0.22859664607237423,0.4889673433362754,1174,1133,1092,5.303818411050134,0.9624542124542125,0,0
0.5,2,hard,10.22,NPS_BINNED,6,None,2,0.2,0.0,14.0,0.0,5.52054794520548,27,4.976132538286633,0.8817351598173515,0.990582191780822,7.973206568712187,22.990492653414,15.817223198594021,29.03225806451613,0.2748487467588591,0.22039757994814174,0.5047536732929991,1168,1157,1076,3.362223716178855,0.9897769516728625,233,117
0.5,2,hard,10.22,LRTF,6,None,3,,0.0,14.0,0.0,25.813698630136987,97,19.120661401291507,0.967579908675799,0.9514480408858603,7.770814682184422,14.95076096687556,11.965811965811962,19.555555555555554,0.2963294538943599,0.25783348254252464,0.4458370635631155,1174,1117,1092,9.39673093540102,0.9478021978021978,0,0
0.5,2,hard,10.22,SRTF,6,None,4,,0.0,14.0,0.0,14.057534246575342,55,11.62108051931244,0.9347031963470318,0.9765100671140939,7.803264604810996,18.986254295532646,21.906354515050168,15.800415800415802,0.2912371134020619,0.22766323024054982,0.48109965635738833,1192,1164,1107,5.567602709399796,0.974706413730804,0,0
0.5,2,hard,10.22,LRTF,6,None,2,,0.0,14.0,0.0,10.92054794520548,54,7.214610543611667,0.8767123287671231,0.9914383561643836,7.866148531951641,19.861830742659752,21.089630931458704,15.895372233400407,0.27806563039723664,0.2452504317789292,0.47668393782383417,1168,1158,1076,5.049582033188542,0.9907063197026023,0,0
0.5,2,hard,10.22,FCFS,6,None,4,,0.0,14.0,0.0,25.10958904109589,78,3.977643986544204,0.9639269406392695,0.9731543624161074,7.674137931034482,13.70689655172414,15.886287625418055,10.901467505241092,0.30775862068965515,0.24741379310344827,0.44482758620689655,1192,1160,1107,9.547944651622817,0.971093044263776,0,0
0.5,2,hard,10.22,NPS,6,None,2,,0.0,14.0,0.0,10.92054794520548,54,7.214610543611667,0.8767123287671231,0.9914383561643836,7.866148531951641,19.861830742659752,21.089630931458704,15.895372233400407,0.27806563039723664,0.2452504317789292,0.47668393782383417,1168,1158,1076,5.049582033188542,0.9907063197026023,0,0
