rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,percent_detractors,percent_passives,percent_promoters,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335
0.0,0,hard,10.22,LRTF,6,None,9,2.5534246575342467,1.4709655903183796,0.7885844748858447,0.9904013961605584,7.92863436123348,21.145374449339204,0.28193832599118945,0.22466960352422907,0.4933920704845815,1146,1135,2.3199711356233172,0.9896030245746692
0.0,0,hard,10.22,LRTF,6,None,11,0.9698630136986301,0.3059755517858405,0.6657534246575343,0.9921259842519685,7.885361552028218,20.370370370370374,0.2804232804232804,0.23544973544973544,0.48412698412698413,1143,1134,1.6103045623065575,0.9915492957746479
0.0,0,hard,10.22,LRTF,6,None,7,5.432876712328767,3.2796994752893265,0.9095890410958904,0.9894366197183099,7.790925266903915,16.814946619217086,0.298932384341637,0.23398576512455516,0.46708185053380785,1136,1124,3.4797946505911352,0.9885823025689819
0.0,0,hard,10.22,LRTF,6,None,5,8.01917808219178,6.27891131541139,0.858447488584475,0.9651162790697675,7.951807228915663,24.374420759962927,0.2557924003707136,0.24467099165894346,0.4995366079703429,1118,1079,3.9941334581470267,0.9620622568093385
0.0,0,hard,10.22,LRTF,6,None,2,8.463013698630137,6.585815303103609,0.852054794520548,0.9804832713754646,7.948815165876777,22.464454976303315,0.2796208530805687,0.2161137440758294,0.5042654028436019,1076,1055,4.620727259719152,0.978894472361809
0.0,0,hard,10.22,LRTF,6,None,23,10.052054794520547,8.436274756892722,0.88675799086758,0.9910071942446043,7.986388384754991,23.865698729582576,0.2577132486388385,0.24591651542649728,0.49637023593466423,1112,1102,5.083005309971085,0.9903660886319846
0.0,0,hard,10.22,LRTF,6,None,6,2.452054794520548,1.0304902694691709,0.8068493150684931,0.9934579439252337,7.896519285042333,21.919096895578555,0.28222013170272814,0.21636876763875823,0.5014111006585137,1070,1063,2.476062940094766,0.9929577464788732
0.0,0,hard,10.22,LRTF,6,None,1,1.210958904109589,0.2871182627567256,0.7077625570776255,0.9905417024935511,7.871527777777778,20.48611111111111,0.2795138888888889,0.2361111111111111,0.484375,1163,1152,1.7011896080807472,0.9898617511520738
0.0,0,hard,10.22,LRTF,6,None,20,9.463013698630137,6.133586963815367,0.8821917808219178,0.9760132340777502,7.907627118644068,22.203389830508474,0.27203389830508473,0.23389830508474577,0.4940677966101695,1209,1180,4.438617973124963,0.9741763134461264
0.0,0,hard,10.22,LRTF,6,None,16,4.794520547945205,1.9161346902083698,0.8721461187214611,0.9689922480620154,7.766222222222222,16.000000000000004,0.2942222222222222,0.25155555555555553,0.45422222222222225,1161,1125,2.8185793446163174,0.9666975023126735
0.0,0,hard,10.22,LRTF,6,None,13,2.756164383561644,1.4721832749905968,0.7840182648401827,0.9876106194690265,7.907706093189964,21.863799283154115,0.26971326164874554,0.24193548387096775,0.4883512544802867,1130,1116,2.3518813628173367,0.9864995178399228
0.0,0,hard,10.22,LRTF,6,None,17,21.865753424657534,15.881244184611912,0.9730593607305935,0.9432387312186978,7.906194690265487,22.389380530973458,0.27876106194690264,0.21858407079646017,0.5026548672566372,1198,1130,8.007087812365844,0.9391771019677997
0.0,0,hard,10.22,LRTF,6,None,19,10.75068493150685,6.363354873763859,0.9347031963470318,0.9682971014492754,7.913002806361085,21.889616463985035,0.27408793264733394,0.23292797006548177,0.4929840972871843,1104,1069,5.282270588615952,0.9656862745098039
0.0,0,hard,10.22,LRTF,6,None,10,27.084931506849315,25.336892543882964,0.9319634703196346,0.9703459637561779,7.797113752122241,17.65704584040747,0.2903225806451613,0.2427843803056027,0.466893039049236,1214,1178,9.767649549685967,0.9690189328743546
0.0,0,hard,10.22,LRTF,6,None,12,11.863013698630137,9.840921536732198,0.9118721461187214,0.9882671480144405,7.816438356164384,18.538812785388124,0.2958904109589041,0.2228310502283105,0.4812785388127854,1108,1095,5.656034425167882,0.9876190476190476
0.0,0,hard,10.22,LRTF,6,None,14,30.421917808219177,29.783282612232263,0.969406392694064,0.9468556244464128,7.806361085126286,17.86716557530402,0.293732460243218,0.23386342376052385,0.4724041159962582,1129,1069,9.251111684336065,0.9432355723746452
0.0,0,hard,10.22,LRTF,6,None,15,34.85753424657534,36.45737407838115,0.9716894977168948,0.9468864468864469,7.8317214700193425,19.24564796905222,0.2872340425531915,0.2330754352030948,0.4796905222437137,1092,1034,11.819387974735537,0.9431929480901078
0.0,0,hard,10.22,LRTF,6,None,21,17.087671232876712,17.492899706445314,0.9310502283105022,0.9932603201347936,7.91687871077184,20.78032230703986,0.28074639525021206,0.23070398642917728,0.48854961832061067,1187,1179,6.994328077574066,0.9927272727272727
0.0,0,hard,10.22,LRTF,6,None,28,2.1561643835616437,0.8238702184560844,0.8598173515981735,0.9864864864864865,7.941552511415525,22.37442922374429,0.26575342465753427,0.2447488584474886,0.4894977168949772,1110,1095,2.3978520035121202,0.9856184084372004
0.0,0,hard,10.22,LRTF,6,None,22,12.726027397260275,7.414250444505623,0.9219178082191781,0.9388794567062818,7.88878842676311,22.151898734177216,0.2694394213381555,0.23960216998191683,0.4909584086799277,1178,1106,4.434929227763263,0.9342465753424658
0.0,0,hard,10.22,LRTF,6,None,3,14.03013698630137,10.66710987610124,0.9287671232876712,0.9921190893169878,7.985878199470433,24.71315092674316,0.2586054721977052,0.235657546337158,0.5057369814651368,1142,1133,6.280754697847148,0.9916743755781684
0.0,0,hard,10.22,LRTF,6,None,33,4.2246575342465755,1.7389485667401687,0.821917808219178,0.9905090595340811,7.880662020905923,20.470383275261323,0.29006968641114983,0.21515679442508712,0.49477351916376305,1159,1148,2.84841092582102,0.9898710865561694
0.0,0,hard,10.22,LRTF,6,None,26,21.09315068493151,21.957396967920527,0.9767123287671233,0.9753303964757709,7.841915085817525,19.873532068654022,0.2836495031616983,0.23396567299006324,0.4823848238482385,1135,1107,8.681889381141895,0.9734848484848485
0.0,0,hard,10.22,LRTF,6,None,36,8.498630136986302,5.371356395560389,0.9077625570776257,0.9847586790855207,7.811693895098882,18.400687876182285,0.28546861564918313,0.24505588993981084,0.469475494411006,1181,1163,4.278844989214389,0.9836512261580381
0.0,0,hard,10.22,LRTF,6,None,25,32.345205479452055,33.56674390401586,0.9840182648401825,0.9826539462272333,7.884377758164166,19.858781994704326,0.2903795233892321,0.22065313327449249,0.4889673433362754,1153,1133,12.10905363854449,0.9810066476733144
0.0,0,hard,10.22,LRTF,6,None,27,33.68493150684932,38.56544076619192,0.982648401826484,0.9197761194029851,7.924949290060852,22.718052738336713,0.27281947261663286,0.22718052738336714,0.5,1072,986,7.523927006632477,0.9140859140859141
0.0,0,hard,10.22,LRTF,6,None,38,10.013698630136986,7.387711350241336,0.8945205479452055,0.9903508771929824,7.860053144375554,21.789193976970772,0.2683790965456156,0.24534986713906112,0.4862710363153233,1140,1129,4.910576030838017,0.9896226415094339
0.0,0,hard,10.22,LRTF,6,None,29,34.1972602739726,53.0702581092529,0.9863013698630136,0.9425182481751825,7.890609874152952,20.619554695062924,0.2797676669893514,0.23426911907066797,0.48596321393998065,1096,1033,7.420905517805619,0.9370629370629371
0.0,0,hard,10.22,LRTF,6,None,32,28.682191780821917,43.88780379953764,0.984474885844749,0.968503937007874,7.89159891598916,21.318879855465216,0.2719060523938573,0.24299909665763325,0.48509485094850946,1143,1107,9.584628511307216,0.9658119658119658
0.0,0,hard,10.22,LRTF,6,None,44,4.810958904109589,2.7001424623975283,0.826027397260274,0.993766696349065,7.768817204301075,16.666666666666668,0.2948028673835125,0.24372759856630824,0.4614695340501792,1123,1116,3.15781775679992,0.993103448275862
0.0,0,hard,10.22,LRTF,6,None,41,18.76164383561644,15.528203116973227,0.9543378995433791,0.9856244384546271,7.818596171376481,19.507748404740198,0.2853236098450319,0.23427529626253418,0.4804010938924339,1113,1097,8.001316138469106,0.984267453294002
0.0,0,hard,10.22,LRTF,6,None,34,32.9972602739726,57.91758254818619,0.9922374429223744,0.9511070110701108,7.96023278370514,23.666343355965086,0.2638215324927255,0.23569350145489815,0.5004849660523764,1084,1031,10.305232485629658,0.9483614697120158
0.0,0,hard,10.22,LRTF,6,None,46,8.476712328767123,7.416397862296664,0.8981735159817352,0.9922077922077922,7.81064572425829,17.888307155322856,0.30017452006980805,0.22076788830715532,0.4790575916230366,1155,1146,4.373867175528134,0.9916512059369202
0.0,0,hard,10.22,LRTF,6,None,35,18.736986301369864,21.77627021442726,0.9726027397260274,0.9586435070306039,7.834339948231234,18.550474547023292,0.2812769628990509,0.25194132873166525,0.46678170836928384,1209,1159,7.0895989875039565,0.9554764024933214
0.0,0,hard,10.22,LRTF,6,None,49,2.665753424657534,0.9221322124252898,0.7808219178082192,0.975517890772128,7.8494208494208495,18.72586872586873,0.28378378378378377,0.24517374517374518,0.47104247104247104,1062,1036,2.282225005657454,0.973630831643002
0.0,0,hard,10.22,LRTF,6,None,31,51.56986301369863,56.79710826229288,0.9689497716894976,0.9180327868852459,7.870039682539683,21.031746031746035,0.28273809523809523,0.22420634920634921,0.4930555555555556,1098,1008,12.001933444620489,0.9124513618677043
0.0,0,hard,10.22,LRTF,6,None,45,17.21095890410959,12.119762689418359,0.8849315068493151,0.9930008748906387,7.895154185022027,21.674008810572687,0.27841409691629954,0.226431718061674,0.4951541850220264,1143,1135,7.192903910104211,0.9925163704396632
0.0,0,hard,10.22,LRTF,6,None,43,28.66849315068493,37.866400914551235,0.9680365296803654,0.9475982532751092,7.829493087557604,20.092165898617516,0.27741935483870966,0.24423963133640553,0.4783410138248848,1145,1085,10.546546850554437,0.9428026692087702
0.0,0,hard,10.22,LRTF,6,None,47,5.041095890410959,2.7118340615128655,0.7826484018264839,0.993676603432701,7.882727272727273,21.27272727272727,0.26636363636363636,0.2545454545454545,0.47909090909090907,1107,1100,3.2083208129613756,0.9932432432432432
0.0,0,hard,10.22,LRTF,6,None,24,63.6986301369863,65.36810185791177,0.9821917808219178,0.9049621530698065,7.842936802973978,19.6096654275093,0.29460966542750927,0.21468401486988847,0.49070631970260226,1189,1076,9.672937605625775,0.8982898289828983
0.0,0,hard,10.22,LRTF,6,None,51,6.052054794520548,3.4772292661544277,0.8552511415525114,0.9954001839926403,7.87985212569316,20.609981515711645,0.27726432532347506,0.23937153419593346,0.4833641404805915,1087,1082,3.7399728821730736,0.9950396825396826
0.0,0,hard,10.22,LRTF,6,None,39,44.75068493150685,66.17519956831693,0.9931506849315068,0.9490703314470493,7.8313458262350935,19.761499148211243,0.2879045996592845,0.22657580919931858,0.4855195911413969,1237,1174,9.119058280630993,0.9445910290237467
0.0,0,hard,10.22,LRTF,6,None,50,7.778082191780822,6.506044473259718,0.8611872146118721,0.9897872340425532,7.831470335339639,18.916595012897673,0.29750644883920896,0.21582115219260534,0.4866723989681857,1175,1163,4.039436646341172,0.9890510948905109
