rho,rho_idx,sampling_mode,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335
0.0,0,hard,FCFS,5,None,12,16.076712328767123,2.8418142734333274,0.9424657534246575,0.9683301343570058,7.900891972249752,20.317145688800792,1042,1009,7.289768029779205,0.9656964656964657
0.0,0,hard,FCFS,5,None,9,21.75890410958904,3.5681750147910956,0.9419178082191781,0.9684400360685302,7.756052141527002,17.504655493482307,1109,1074,8.838096914312958,0.966698382492864
0.0,0,hard,FCFS,5,None,15,14.383561643835616,2.258615926824049,0.9145205479452053,0.9819897084048027,7.841048034934498,20.0,1166,1145,5.987594609807709,0.9806273062730627
0.0,0,hard,FCFS,5,None,7,9.216438356164383,1.461850806945277,0.932054794520548,0.9893333333333333,7.957771787960467,23.629829290206644,1125,1113,4.507627402819042,0.9885057471264368
0.0,0,hard,FCFS,5,None,11,36.76438356164383,5.871250615316147,0.9742465753424658,0.9523809523809523,7.736363636363636,15.909090909090907,1155,1100,13.415347025831663,0.9490740740740741
0.0,0,hard,FCFS,5,None,8,46.553424657534244,7.658546866199905,0.9780821917808219,0.9249329758713136,7.818357487922706,17.101449275362317,1119,1035,17.17520787325049,0.9183673469387755
0.0,0,hard,FCFS,5,None,16,49.30684931506849,8.22625691772808,0.9780821917808219,0.935251798561151,7.7548076923076925,16.923076923076923,1112,1040,18.21217030238738,0.9305019305019305
0.0,0,hard,FCFS,5,None,5,29.958904109589042,4.917403941360257,0.9917808219178083,0.9686956521739131,7.78096947935368,18.043087971274684,1150,1114,11.224095548521412,0.9661335841956726
0.0,0,hard,FCFS,5,None,24,41.92602739726028,7.4169148257302036,0.9917808219178083,0.9142857142857143,7.736895161290323,15.927419354838706,1085,992,16.04017087967601,0.9056795131845842
0.0,0,hard,FCFS,5,None,29,2.621917808219178,0.36929645297170544,0.7846575342465753,0.9836956521739131,7.927255985267035,22.099447513812155,1104,1086,2.1545594800379533,0.9824902723735408
0.0,0,hard,FCFS,5,None,4,75.58082191780822,13.426193999139725,0.9945205479452055,0.8370998116760828,7.941507311586052,23.84701912260967,1062,889,28.142617385841323,0.8231083844580777
0.0,0,hard,FCFS,5,None,10,48.12328767123287,7.589470104570187,0.9824657534246576,0.9141414141414141,7.823204419889502,16.758747697974215,1188,1086,16.586548031564504,0.907942238267148
0.0,0,hard,FCFS,5,None,23,93.10684931506849,14.437317656875189,0.9901369863013698,0.8765534382767192,7.780718336483932,17.67485822306238,1207,1058,30.912520234560223,0.8679078014184397
0.0,0,hard,FCFS,5,None,13,113.93150684931507,18.01690333090165,0.983013698630137,0.8107638888888888,7.697002141327623,12.955032119914344,1152,934,37.65929871535132,0.7994480220791168
